 #! Swift/XRT lightcurve of trigger: 31978, name: NGC 5408 X-1
 #! T0 for this burst is Swift MET=229462503.0 s, = 2008 Apr 09 at 19:35:00.294 UT
 #! Data covers 0.3-10 keV
 #! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source count-rate, source error
 #! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 #! For a detailed description of the file, see
 #! http://www.swift.ac.uk/xrt_curves/docs.php
 #! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00031978
#! PC data
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
22554209.952	18000.000	-18000.000	7.012112e-02	5.688007e-03	-5.688007e-03
22842209.952	18000.000	-18000.000	6.894593e-02	5.553525e-03	-5.553525e-03
23094209.952	18000.000	-18000.000	7.544544e-02	8.024606e-03	-8.024606e-03
23418209.952	18000.000	-18000.000	7.052861e-02	1.086888e-02	-1.086888e-02
23454209.952	18000.000	-18000.000	5.914761e-02	7.194782e-03	-7.194782e-03
23706209.952	18000.000	-18000.000	6.056866e-02	5.396667e-03	-5.396667e-03
24102209.952	18000.000	-18000.000	6.220497e-02	6.408813e-03	-6.408813e-03
24318209.952	18000.000	-18000.000	5.615922e-02	5.340424e-03	-5.340424e-03
24714209.952	18000.000	-18000.000	8.583623e-02	6.642154e-03	-6.642154e-03
24930209.952	18000.000	-18000.000	7.822257e-02	1.767848e-02	-1.767848e-02
24966209.952	18000.000	-18000.000	6.650618e-02	8.784793e-03	-8.784793e-03
25290209.952	18000.000	-18000.000	8.949742e-02	1.622174e-02	-1.622174e-02
25326209.952	18000.000	-18000.000	7.101420e-02	7.566508e-03	-7.566508e-03
25542209.952	18000.000	-18000.000	7.265688e-02	6.152133e-03	-6.152133e-03
25866209.952	18000.000	-18000.000	6.936297e-02	6.730434e-03	-6.730434e-03
25902209.952	18000.000	-18000.000	5.721046e-02	8.777735e-03	-8.777735e-03
26442209.952	18000.000	-18000.000	9.450324e-02	1.067627e-02	-1.067627e-02
26478209.952	18000.000	-18000.000	7.675368e-02	9.287748e-03	-9.287748e-03
26766209.952	18000.000	-18000.000	9.401846e-02	7.032472e-03	-7.032472e-03
27054209.952	18000.000	-18000.000	6.269883e-02	8.195325e-03	-8.195325e-03
27090209.952	18000.000	-18000.000	8.458334e-02	1.698160e-02	-1.698160e-02
27378209.952	18000.000	-18000.000	1.098060e-01	8.350727e-03	-8.350727e-03
27414209.952	18000.000	-18000.000	1.201505e-01	2.697925e-02	-2.697925e-02
27666209.952	18000.000	-18000.000	9.623910e-02	7.444661e-03	-7.444661e-03
27990209.952	18000.000	-18000.000	8.337825e-02	9.176262e-03	-9.176262e-03
28278209.952	18000.000	-18000.000	7.883703e-02	6.879503e-03	-6.879503e-03
28530209.952	18000.000	-18000.000	1.184738e-01	8.195377e-03	-8.195377e-03
29214209.952	18000.000	-18000.000	8.187377e-02	5.815366e-03	-5.815366e-03
29250209.952	18000.000	-18000.000	7.693577e-02	9.692713e-03	-9.692713e-03
29466209.952	18000.000	-18000.000	8.714455e-02	9.234670e-03	-9.234670e-03
29502209.952	18000.000	-18000.000	1.000393e-01	9.784905e-03	-9.784905e-03
29754209.952	18000.000	-18000.000	7.887736e-02	5.532631e-03	-5.532631e-03
30150209.952	18000.000	-18000.000	7.464817e-02	6.379893e-03	-6.379893e-03
30402209.952	18000.000	-18000.000	8.167433e-02	7.159441e-03	-7.159441e-03
30726209.952	18000.000	-18000.000	6.673910e-02	5.752300e-03	-5.752300e-03
30942209.952	18000.000	-18000.000	7.098013e-02	7.989129e-03	-7.989129e-03
30978209.952	18000.000	-18000.000	7.606177e-02	1.477329e-02	-1.477329e-02
31302209.952	18000.000	-18000.000	7.042436e-02	1.007319e-02	-1.007319e-02
31338209.952	18000.000	-18000.000	6.419546e-02	8.638921e-03	-8.638921e-03
31626209.952	18000.000	-18000.000	8.336480e-02	7.219371e-03	-7.219371e-03
31950209.952	18000.000	-18000.000	9.121479e-02	1.056106e-02	-1.056106e-02
31986209.952	18000.000	-18000.000	7.903893e-02	9.753265e-03	-9.753265e-03
32526209.952	18000.000	-18000.000	6.660905e-02	5.339491e-03	-5.339491e-03
32778209.952	18000.000	-18000.000	5.113091e-02	7.728479e-03	-7.728479e-03
33138209.952	18000.000	-18000.000	7.400498e-02	6.604547e-03	-6.604547e-03
33426209.952	18000.000	-18000.000	4.956905e-02	8.003264e-03	-8.003264e-03
33714209.952	18000.000	-18000.000	8.356849e-02	7.050569e-03	-7.050569e-03
